iter	Passed	Remaining
206	524	2011
207	527	2008
208	529	2004
209	532	2003
210	534	2000
211	537	1996
212	539	1994
213	542	1991
214	544	1989
215	547	1986
216	549	1984
217	552	1981
218	554	1978
219	557	1976
220	559	1972
221	562	1969
222	564	1967
223	567	1964
224	569	1961
225	571	1958
226	574	1956
227	577	1954
228	579	1951
229	581	1948
230	584	1945
231	586	1942
232	589	1939
233	591	1936
234	594	1933
235	596	1931
236	599	1928
237	601	1925
238	604	1925
239	607	1922
240	609	1919
241	611	1916
242	615	1917
243	618	1915
244	621	1913
245	623	1910
246	625	1908
247	628	1905
248	630	1902
249	633	1900
250	636	1899
251	639	1896
252	641	1894
253	643	1891
254	646	1888
255	648	1886
256	651	1883
257	653	1879
258	656	1876
259	658	1874
260	660	1871
261	663	1869
262	666	1866
263	668	1864
264	671	1861
265	673	1858
266	675	1855
267	678	1853
268	680	1850
269	683	1847
270	686	1845
271	688	1842
272	691	1840
273	693	1838
274	696	1836
275	699	1834
276	701	1831
277	704	1829
278	706	1826
279	709	1824
280	711	1821
281	714	1818
282	716	1815
283	719	1813
284	722	1811
285	724	1808
286	727	1806
287	729	1803
288	732	1800
289	734	1799
290	737	1797
291	740	1794
292	742	1791
293	744	1788
294	747	1786
295	749	1783
296	752	1780
297	754	1777
298	756	1774
299	759	1771
300	761	1769
301	764	1766
302	766	1763
303	769	1761
304	772	1759
305	774	1756
306	777	1754
307	779	1751
308	781	1748
309	784	1745
310	786	1742
311	788	1739
312	791	1736
313	794	1734
314	796	1732
315	798	1729
316	801	1726
317	804	1724
318	806	1722
319	809	1719
320	811	1716
321	814	1714
322	816	1711
323	819	1710
324	822	1708
325	825	1705
326	827	1703
327	829	1700
328	832	1698
329	835	1695
330	838	1694
331	840	1691
332	843	1689
333	845	1686
334	848	1684
335	851	1682
336	854	1680
337	856	1677
338	858	1674
339	861	1672
340	863	1669
341	866	1666
342	868	1664
343	871	1661
344	873	1658
345	876	1657
346	879	1654
347	881	1651
348	884	1649
349	886	1647
350	889	1644
351	891	1641
352	894	1639
353	896	1636
354	899	1633
355	902	1631
356	904	1628
357	906	1626
358	909	1623
359	911	1621
360	914	1619
361	917	1616
362	919	1613
363	922	1611
364	925	1609
365	928	1608
366	930	1605
367	933	1603
368	936	1600
369	938	1598
370	941	1595
371	943	1592
372	945	1590
373	948	1588
374	951	1585
375	953	1583
376	957	1581
377	959	1579
378	963	1578
379	966	1576
380	969	1574
381	971	1571
382	973	1568
383	976	1566
384	978	1563
385	981	1560
386	983	1558
387	986	1555
388	988	1552
389	990	1549
390	993	1548
391	996	1545
392	998	1542
393	1001	1540
394	1003	1537
395	1006	1534
396	1008	1532
397	1011	1529
398	1013	1526
399	1016	1524
400	1018	1522
401	1021	1519
402	1023	1516
403	1026	1514
404	1029	1512
405	1031	1509
406	1034	1506
407	1036	1504
408	1039	1501
409	1041	1498
410	1044	1496
411	1046	1493
412	1049	1491
413	1051	1488
414	1053	1485
415	1056	1482
416	1058	1480
417	1061	1477
418	1063	1474
419	1066	1472
420	1068	1469
421	1070	1466
422	1073	1463
423	1075	1461
424	1078	1458
425	1080	1455
426	1082	1453
427	1085	1450
428	1087	1448
429	1090	1445
430	1092	1442
431	1095	1440
432	1097	1437
433	1100	1434
434	1102	1432
435	1105	1429
436	1107	1426
437	1110	1424
438	1112	1421
439	1115	1419
440	1117	1416
441	1120	1414
442	1122	1411
443	1124	1408
444	1127	1406
445	1129	1403
446	1132	1400
